Ville_code_postal,Commune,code_insee
Montrouge (92120),Montrouge,92049
Nanterre (92000),Nanterre,92050
Neuilly-sur-Seine (92200),Neuilly-sur-Seine,92051
Le Plessis-Robinson (92350),Le Plessis-Robinson,92060
Puteaux (92800),Puteaux,92062
Rueil-Malmaison (92500),Rueil-Malmaison,92063
Saint-Cloud (92210),Saint-Cloud,92064
Sceaux (92330),Sceaux,92071
Sèvres (92310),Sèvres,92072
Suresnes (92150),Suresnes,92073
Vanves (92170),Vanves,92075
Vaucresson (92420),Vaucresson,92076
Ville-d'Avray (92410),Ville-d'Avray,92077
Villeneuve-la-Garenne (92390),Villeneuve-la-Garenne,92078
Aubervilliers (93300),Aubervilliers,93001
Aulnay-sous-Bois (93600),Aulnay-sous-Bois,93005
Bagnolet (93170),Bagnolet,93006
Évry-Courcouronnes (91000), Évry-Courcouronnes, 91228
Bobigny (93000),Bobigny,93008
Bondy (93140),Bondy,93010
Le Bourget (93350),Le Bourget,93013
Coubron (93470),Coubron,93015
La Courneuve (93120),La Courneuve,93027
Drancy (93700),Drancy,93029
Epinay-sur-Seine (93800),Epinay-sur-Seine,93031
Gagny (93220),Gagny,93032
Gournay-sur-Marne (93460),Gournay-sur-Marne,93033
Les Lilas (93260),Les Lilas,93045
Livry-Gargan (93190),Livry-Gargan,93046
Neuilly-Plaisance (93360),Neuilly-Plaisance,93049
Neuilly-sur-Marne (93330),Neuilly-sur-Marne,93050
Noisy-le-Grand (93160),Noisy-le-Grand,93051
Noisy-le-Sec (93130),Noisy-le-Sec,93053
Pantin (93500),Pantin,93055
Les Pavillons-sous-Bois (93320),Les Pavillons-sous-Bois,93057
Pierrefitte-sur-Seine (93380),Pierrefitte-sur-Seine,93059
Le Pré-Saint-Gervais (93310),Le Pré-Saint-Gervais,93061
Le Raincy (93340),Le Raincy,93062
Romainville (93230),Romainville,93063
Saint-Denis (93200),Saint-Denis,93066
Sevran (93270),Sevran,93071
Stains (93240),Stains,93072
Tremblay-en-France (93290),Tremblay-en-France,93073
Villemomble (93250),Villemomble,93077
Villepinte (93420),Villepinte,93078
Alfortville (94140),Alfortville,94002
Arcueil (94110),Arcueil,94003
Boissy-Saint-Léger (94470),Boissy-Saint-Léger,94004
Bry-sur-Marne (94360),Bry-sur-Marne,94015
Cachan (94230),Cachan,94016
Champigny-sur-Marne (94500),Champigny-sur-Marne,94017
Charenton-le-Pont (94220),Charenton-le-Pont,94018
Chennevières-sur-Marne (94430),Chennevières-sur-Marne,94019
Chevilly-Larue (94550),Chevilly-Larue,94021
Choisy-le-Roi (94600),Choisy-le-Roi,94022
Créteil (94000),Créteil,94028
Fontenay-sous-Bois (94120),Fontenay-sous-Bois,94033
Gentilly (94250),Gentilly,94037
L'Haÿ-les-Roses (94240),L'Haÿ-les-Roses,94038
Ivry-sur-Seine (94200),Ivry-sur-Seine,94041
Joinville-le-Pont (94340),Joinville-le-Pont,94042
Le Kremlin-Bicêtre (94270),Le Kremlin-Bicêtre,94043
Limeil-Brévannes (94450),Limeil-Brévannes,94044
Maisons-Alfort (94700),Maisons-Alfort,94046
Mandres-les-Roses (94520),Mandres-les-Roses,94047
Nogent-sur-Marne (94130),Nogent-sur-Marne,94052
Orly (94310),Orly,94054
Ormesson-sur-Marne (94490),Ormesson-sur-Marne,94055
Le Perreux-sur-Marne (94170),Le Perreux-sur-Marne,94058
Le Plessis-Trévise (94420),Le Plessis-Trévise,94059
La Queue-en-Brie (94510),La Queue-en-Brie,94060
Rungis (94150),Rungis,94065
Saint-Mandé (94160),Saint-Mandé,94067
Saint-Maur-des-Fossés,Saint-Maur-des-Fossés,94068
Saint-Maur-des-Fossés (94100),Saint-Maur-des-Fossés,94068
Saint-Maurice (94410),Saint-Maurice,94069
Sucy-en-Brie (94370),Sucy-en-Brie,94071
Thiais (94320),Thiais,94073
Valenton (94460),Valenton,94074
Villecresnes (94440),Villecresnes,94075
Villejuif (94800),Villejuif,94076
Villeneuve-le-Roi (94290),Villeneuve-le-Roi,94077
Villeneuve-Saint-Georges (94190),Villeneuve-Saint-Georges,94078
Villiers-sur-Marne (94350),Villiers-sur-Marne,94079
Vincennes (94300),Vincennes,94080
Vitry-sur-Seine (94400),Vitry-sur-Seine,94081
Ableiges (95450),Ableiges,95002
Argenteuil (95100),Argenteuil,95018
Arnouville (95400),Arnouville,95019
Attainville (95570),Attainville,95028
Beauchamp (95250),Beauchamp,95051
Bessancourt (95550),Bessancourt,95060
Bezons (95870),Bezons,95063
Bouffémont (95570),Bouffémont,95091
Bruyères-sur-Oise (95820),Bruyères-sur-Oise,95116
Butry-sur-Oise (95430),Butry-sur-Oise,95120
Cergy (95000),Cergy,95127
Cergy (95800),Cergy,95127
Champagne-sur-Oise (95660),Champagne-sur-Oise,95134
Cormeilles-en-Parisis (95240),Cormeilles-en-Parisis,95176
Deuil-la-Barre (95170),Deuil-la-Barre,95197
Domont (95330),Domont,95199
Eaubonne (95600),Eaubonne,95203
Ecouen (95440),Ecouen,95205
Enghien-les-Bains (95880),Enghien-les-Bains,95210
Éragny (95610),Éragny,95218
Ermont (95120),Ermont,95219
Ezanville (95460),Ezanville,95229
Fosses (95470),Fosses,95250
Franconville (95130),Franconville,95252
Garges-lès-Gonesse (95140),Garges-lès-Gonesse,95268
Gonesse (95500),Gonesse,95277
Goussainville (95190),Goussainville,95280
Grisy-les-Plâtres (95810),Grisy-les-Plâtres,95287
Groslay (95410),Groslay,95288
Herblay (95220),Herblay,95306
L'Isle-Adam (95290),L'Isle-Adam,95313
Jouy-le-Moutier (95280),Jouy-le-Moutier,95323
Louvres (95380),Louvres,95351
Luzarches (95270),Luzarches,95352
Magny-en-Vexin (95420),Magny-en-Vexin,95355
Méry-sur-Oise (95540),Méry-sur-Oise,95394
Montigny-lès-Cormeilles (95370),Montigny-lès-Cormeilles,95424
Montlignon (95680),Montlignon,95426
Montmagny (95360),Montmagny,95427
Montmorency (95160),Montmorency,95428
Neuville-sur-Oise (95000),Neuville-sur-Oise,95450
Osny (95520),Osny,95476
Parmain (95620),Parmain,95480
Persan (95340),Persan,95487
Pierrelaye (95480),Pierrelaye,95488
Le Plessis-Bouchard (95130),Le Plessis-Bouchard,95491
Pontoise (95000),Pontoise,95500
Pontoise (95300),Pontoise,95500
Saint-Brice-sous-Forêt (95350),Saint-Brice-sous-Forêt,95539
Saint-Leu-la-Forêt (95320),Saint-Leu-la-Forêt,95563
Saint-Ouen-l'Aumône (95310),Saint-Ouen-l'Aumône,95572
Saint-Prix (95390),Saint-Prix,95574
Sannois (95110),Sannois,95582
Sarcelles (95200),Sarcelles,95585
Soisy-sous-Montmorency (95230),Soisy-sous-Montmorency,95598
Taverny (95150),Taverny,95607
Vauréal (95490),Vauréal,95637
Viarmes (95270),Viarmes,95652
Villiers-Adam (95840),Villiers-Adam,95678
Villiers-le-Bel (95400),Villiers-le-Bel,95680
Saint-Cyr-l'Ecole (78210),Saint-Cyr-l'Ecole,78545
BOIS COLOMBES (92270),BOIS COLOMBES,92009
Epinay-sous-Sénart (91860),Epinay-sous-Sénart,91215
Etréchy (91580),Etréchy,91226
